U,Y,G,A,V,H
-29.0,2.0,53,M,0.0,11
-17.0,1.0,53,M,0.0,11
-1.0,2.0,53,M,0.0,11
13.0,2.0,53,F,0.0,11
-16.0,3.0,53,F,20.0,11
-6.0,4.0,53,F,20.0,11
-4.0,2.0,53,F,0.0,11
-10.0,3.0,53,F,0.0,11
17.0,10.0,53,M,20.0,11
14.0,10.0,53,F,20.0,11
12.0,9.0,53,F,20.0,11
-7.0,5.0,53,M,0.0,11
6.0,4.0,53,F,0.0,11
29.0,10.0,53,F,1.0,11
-2.0,9.0,53,F,0.0,11
3.0,10.0,53,M,20.0,11
8.0,9.0,53,F,0.0,11
22.0,10.0,53,M,31.0,11
6.0,10.0,53,M,20.0,11
-26.0,2.0,53,M,0.0,11
3.0,9.0,53,M,31.0,11
10.0,10.0,53,M,20.0,11
-14.0,5.0,53,M,0.0,11
-15.0,5.0,54,M,20.0,12
2.0,9.0,54,M,20.0,12
-6.0,5.0,54,M,20.0,12
-9.0,4.0,54,M,0.0,12
-24.0,4.0,54,M,20.0,12
-1.0,2.0,55,M,0.0,11
18.0,4.0,55,M,0.0,11
18.0,10.0,55,F,20.0,11
-12.0,3.0,55,M,20.0,11
-16.0,2.0,55,F,0.0,11
2.0,10.0,55,M,20.0,11
0.0,5.0,55,M,0.0,11
11.0,8.0,55,F,0.0,11
-10.0,3.0,55,M,20.0,11
3.0,10.0,55,F,20.0,11
6.0,10.0,55,F,0.0,11
-29.0,2.0,55,M,20.0,11
-5.0,7.0,55,M,0.0,11
-15.0,2.0,56,F,0.0,12
30.0,9.0,56,F,20.0,12
3.0,6.0,57,M,20.0,10
3.0,5.0,57,F,31.0,10
-6.0,3.0,57,F,20.0,11
17.0,10.0,57,F,1.0,10
40.0,10.0,57,M,1.0,10
11.0,6.0,57,M,20.0,12
1.0,7.0,57,M,0.0,10
-16.0,7.0,57,M,20.0,10
3.0,9.0,57,M,0.0,10
3.0,6.0,57,M,20.0,12
2.0,10.0,57,F,31.0,10
4.0,8.0,57,M,0.0,10
-6.0,2.0,57,F,0.0,10
-7.0,5.0,57,F,0.0,10
-12.0,4.0,57,M,20.0,10
7.0,10.0,57,M,20.0,10
7.0,10.0,57,M,20.0,10
1.0,6.0,57,F,0.0,10
2.0,10.0,57,M,0.0,10
-9.0,3.0,57,M,0.0,10
-23.0,2.0,57,F,0.0,10
-15.0,10.0,57,M,20.0,10
1.0,4.0,57,F,0.0,10
-16.0,3.0,57,M,0.0,10
19.0,10.0,57,F,1.0,10
0.0,7.0,57,F,0.0,10
-1.0,4.0,58,M,0.0,11
1.0,5.0,58,M,0.0,11
11.0,10.0,58,F,20.0,11
-12.0,5.0,58,F,20.0,12
20.0,10.0,58,F,1.0,12
4.0,9.0,58,M,20.0,11
20.0,10.0,58,F,1.0,11
8.0,9.0,58,F,0.0,11
0.0,7.0,58,F,0.0,11
18.0,10.0,58,F,0.0,11
-19.0,2.0,58,F,20.0,11
-2.0,7.0,58,F,31.0,11
17.0,10.0,58,F,0.0,11
-22.0,2.0,59,M,0.0,11
21.0,10.0,59,F,0.0,11
10.0,9.0,59,F,0.0,11
22.0,10.0,59,F,20.0,11
12.0,5.0,59,F,0.0,11
-8.0,4.0,60,M,0.0,10
-5.0,8.0,60,M,20.0,10
-17.0,2.0,60,F,0.0,10
-7.0,3.0,60,F,20.0,10
-8.0,3.0,60,M,0.0,10
2.0,7.0,61,M,0.0,11
11.0,8.0,61,M,0.0,11
-5.0,7.0,61,M,0.0,11
0.0,3.0,61,F,31.0,11
6.0,10.0,61,M,1.0,11
0.0,9.0,61,F,20.0,11
27.0,10.0,61,M,1.0,11
-17.0,3.0,61,M,0.0,11
-5.0,3.0,61,F,31.0,11
18.0,10.0,61,F,20.0,11
-18.0,3.0,61,F,0.0,11
-14.0,4.0,61,F,20.0,11
2.0,10.0,61,F,0.0,11
-6.0,7.0,61,F,0.0,11
-4.0,8.0,61,M,0.0,11
-4.0,10.0,61,F,20.0,11
2.0,9.0,61,F,20.0,11
0.0,2.0,61,M,0.0,11
-14.0,2.0,61,M,0.0,11
5.0,6.0,61,F,0.0,11
13.0,10.0,61,M,31.0,11
11.0,10.0,61,F,20.0,11
3.0,6.0,61,M,0.0,11
9.0,10.0,61,F,20.0,11
2.0,8.0,61,M,20.0,11
4.0,7.0,61,F,1.0,11
0.0,7.0,61,M,0.0,11
-6.0,8.0,61,F,20.0,11
-9.0,2.0,61,M,20.0,11
0.0,10.0,61,M,20.0,11
-5.0,9.0,61,M,20.0,11
13.0,10.0,61,F,1.0,11
-11.0,2.0,61,F,0.0,11
14.0,10.0,61,M,20.0,11
10.0,10.0,61,F,20.0,11
18.0,10.0,61,F,0.0,11
9.0,10.0,61,M,20.0,11
7.0,9.0,61,M,20.0,11
-7.0,5.0,61,M,31.0,11
11.0,10.0,61,F,20.0,11
-6.0,2.0,61,M,0.0,11
1.0,4.0,61,M,0.0,11
3.0,10.0,61,F,1.0,11
16.0,10.0,61,F,0.0,11
-12.0,2.0,61,F,0.0,11
-20.0,3.0,61,F,0.0,11
3.0,8.0,61,F,0.0,11
17.0,10.0,61,F,20.0,11
3.0,8.0,61,F,1.0,11
5.0,9.0,61,M,0.0,11
-25.0,2.0,61,F,1.0,11
-15.0,3.0,61,M,0.0,11
-7.0,10.0,61,F,0.0,11
-22.0,2.0,61,M,0.0,11
11.0,10.0,61,F,20.0,11
-5.0,4.0,61,F,0.0,11
8.0,9.0,61,M,20.0,11
1.0,9.0,61,M,20.0,11
1.0,8.0,61,M,20.0,11
-4.0,4.0,61,F,31.0,11
6.0,4.0,61,F,0.0,11
8.0,10.0,61,M,20.0,11
4.0,6.0,61,F,31.0,11
0.0,9.0,61,M,0.0,11
13.0,10.0,61,M,31.0,11
4.0,10.0,61,M,1.0,11
13.0,7.0,61,F,0.0,11
-14.0,2.0,61,F,0.0,11
2.0,10.0,61,F,0.0,11
14.0,10.0,61,F,1.0,11
-18.0,2.0,61,F,31.0,11
5.0,10.0,61,M,20.0,11
1.0,2.0,62,F,0.0,11
-11.0,3.0,62,M,0.0,11
-6.0,6.0,62,M,0.0,11
-19.0,2.0,62,F,0.0,11
8.0,10.0,62,M,20.0,11
-15.0,4.0,62,M,20.0,11
-24.0,2.0,62,M,0.0,11
-19.0,3.0,62,F,0.0,11
33.0,9.0,63,F,1.0,11
-15.0,4.0,63,F,0.0,11
11.0,10.0,63,M,0.0,11
20.0,10.0,63,F,1.0,11
0.0,10.0,64,F,31.0,11
-2.0,10.0,65,M,1.0,12
-4.0,2.0,65,M,20.0,12
-20.0,8.0,65,M,0.0,12
-4.0,8.0,65,F,20.0,12
-14.0,2.0,65,M,0.0,12
7.0,5.0,65,F,0.0,10
-14.0,5.0,66,F,31.0,11
29.0,10.0,66,F,20.0,11
10.0,9.0,66,F,20.0,11
18.0,8.0,66,M,20.0,11
3.0,10.0,66,M,31.0,11
26.0,10.0,66,F,1.0,11
4.0,10.0,66,M,20.0,11
-24.0,2.0,66,M,0.0,11
-11.0,3.0,66,M,20.0,11
29.0,10.0,66,F,20.0,11
21.0,9.0,66,F,0.0,11
10.0,10.0,66,F,0.0,11
2.0,4.0,66,F,0.0,11
7.0,1.0,66,M,0.0,11
26.0,10.0,67,F,31.0,11
23.0,10.0,67,F,20.0,11
11.0,9.0,67,F,0.0,11
6.0,3.0,67,M,31.0,11
-4.0,5.0,67,F,31.0,11
2.0,6.0,67,F,1.0,11
3.0,9.0,67,F,0.0,11
17.0,10.0,67,M,1.0,11
-10.0,9.0,67,F,0.0,11
6.0,10.0,67,F,1.0,11
-4.0,2.0,68,F,0.0,11
9.0,9.0,69,F,31.0,12
10.0,2.0,69,M,0.0,12
16.0,2.0,69,M,0.0,12
5.0,2.0,69,F,0.0,12
-2.0,4.0,69,M,20.0,12
-16.0,5.0,69,M,0.0,12
-11.0,3.0,69,M,0.0,12
-12.0,2.0,69,M,0.0,12
34.0,10.0,70,F,0.0,12
-12.0,5.0,70,M,0.0,11
-2.0,8.0,70,F,0.0,12
27.0,10.0,70,M,20.0,12
-30.0,2.0,70,M,20.0,11
2.0,10.0,70,M,20.0,11
-4.0,6.0,70,F,20.0,12
10.0,8.0,70,M,0.0,11
11.0,7.0,71,F,0.0,11
-20.0,3.0,71,F,0.0,11
-6.0,2.0,71,M,0.0,11
-21.0,1.0,71,F,0.0,2
-18.0,2.0,71,F,0.0,11
-16.0,3.0,71,F,0.0,11
-2.0,2.0,71,M,0.0,11
-22.0,2.0,71,M,0.0,11
-7.0,4.0,71,F,0.0,11
-14.0,2.0,71,M,0.0,11
-12.0,2.0,71,M,0.0,11
6.0,7.0,71,M,0.0,11
1.0,3.0,71,F,0.0,11
5.0,6.0,71,F,20.0,11
-8.0,10.0,72,F,1.0,12
-9.0,6.0,72,M,20.0,12
-2.0,3.0,72,F,0.0,12
18.0,10.0,72,M,20.0,12
-4.0,4.0,72,M,20.0,5
5.0,7.0,72,F,0.0,12
-18.0,2.0,72,F,0.0,12
7.0,7.0,73,F,1.0,1
13.0,9.0,73,F,1.0,1
34.0,10.0,73,F,1.0,1
13.0,7.0,73,M,0.0,10
11.0,7.0,73,F,0.0,1
11.0,9.0,73,M,0.0,1
-1.0,3.0,74,M,0.0,11
-17.0,2.0,74,F,0.0,11
-14.0,4.0,74,F,0.0,11
14.0,10.0,74,F,1.0,11
21.0,10.0,74,M,20.0,11
7.0,7.0,75,F,31.0,11
7.0,10.0,75,M,20.0,11
-2.0,5.0,75,F,0.0,11
-27.0,3.0,75,M,0.0,11
-2.0,4.0,76,M,0.0,12
-19.0,3.0,76,M,20.0,12
-7.0,3.0,76,F,0.0,12
-11.0,4.0,76,M,20.0,12
10.0,8.0,76,M,0.0,12
8.0,5.0,76,F,0.0,12
7.0,5.0,76,F,0.0,12
-14.0,5.0,76,F,0.0,12
5.0,7.0,76,M,0.0,12
-4.0,9.0,76,F,20.0,12
6.0,7.0,76,M,0.0,12
-16.0,2.0,76,M,0.0,12
0.0,9.0,76,F,20.0,12
-2.0,9.0,77,M,20.0,1
13.0,8.0,77,M,20.0,10
22.0,10.0,77,F,20.0,1
-5.0,4.0,77,M,0.0,9
3.0,8.0,77,M,0.0,9
5.0,4.0,77,F,0.0,9
26.0,9.0,77,F,0.0,9
-25.0,2.0,77,F,0.0,9
-16.0,4.0,77,M,20.0,9
10.0,9.0,77,F,0.0,9
-16.0,4.0,77,F,0.0,9
0.0,4.0,77,M,0.0,10
8.0,10.0,77,F,0.0,9
-15.0,3.0,77,M,0.0,9
6.0,8.0,77,F,0.0,9
14.0,10.0,77,F,0.0,9
9.0,6.0,77,F,20.0,1
0.0,3.0,78,F,0.0,12
13.0,10.0,78,F,1.0,12
-24.0,3.0,78,M,0.0,12
3.0,9.0,78,F,0.0,12
14.0,9.0,78,F,0.0,12
3.0,8.0,78,F,1.0,12
8.0,10.0,78,M,20.0,12
5.0,7.0,78,F,0.0,12
-6.0,5.0,78,M,0.0,12
9.0,9.0,78,F,0.0,12
-6.0,5.0,78,M,20.0,12
-8.0,3.0,78,M,0.0,12
-5.0,10.0,78,M,1.0,12
24.0,10.0,78,M,20.0,12
2.0,9.0,78,F,20.0,12
-4.0,8.0,78,F,31.0,12
-12.0,5.0,78,F,0.0,12
0.0,5.0,78,F,0.0,12
9.0,10.0,78,F,1.0,12
20.0,10.0,78,F,1.0,12
-10.0,5.0,78,F,0.0,12
7.0,6.0,78,M,20.0,12
6.0,7.0,78,F,20.0,12
-23.0,3.0,78,F,0.0,12
17.0,10.0,78,F,20.0,12
-9.0,10.0,78,M,20.0,12
10.0,9.0,78,F,1.0,12
17.0,9.0,78,M,31.0,12
-11.0,3.0,78,M,1.0,11
-14.0,5.0,78,F,20.0,12
8.0,10.0,79,F,0.0,11
3.0,3.0,79,F,0.0,11
7.0,10.0,79,M,0.0,11
5.0,5.0,79,M,0.0,11
-15.0,2.0,79,M,31.0,11
3.0,2.0,79,F,0.0,11
3.0,5.0,79,F,20.0,11
-8.0,3.0,79,M,0.0,11
8.0,8.0,79,M,0.0,11
-9.0,3.0,79,M,0.0,11
-1.0,5.0,79,F,0.0,11
2.0,6.0,79,F,0.0,11
10.0,10.0,79,F,20.0,11
15.0,10.0,79,F,20.0,11
5.0,5.0,79,M,20.0,11
-6.0,5.0,79,F,0.0,11
-14.0,3.0,80,M,0.0,12
-9.0,3.0,80,F,20.0,12
3.0,4.0,81,F,0.0,11
3.0,5.0,81,F,31.0,11
-12.0,4.0,81,M,1.0,11
19.0,8.0,81,M,0.0,11
-14.0,2.0,82,M,20.0,10
4.0,9.0,82,M,0.0,10
-4.0,4.0,82,F,20.0,10
-16.0,2.0,82,F,0.0,10
-1.0,10.0,82,F,20.0,10
-8.0,5.0,82,M,31.0,10
5.0,3.0,82,M,0.0,10
11.0,8.0,82,F,0.0,10
-30.0,2.0,82,M,0.0,10
-6.0,8.0,82,F,20.0,10
0.0,2.0,82,M,0.0,10
-25.0,2.0,82,F,0.0,10
-16.0,3.0,82,M,31.0,10
0.0,3.0,82,F,0.0,10
34.0,10.0,82,M,20.0,10
5.0,8.0,82,F,0.0,10
10.0,8.0,82,M,0.0,10
-4.0,2.0,82,F,0.0,10
-9.0,2.0,82,M,0.0,10
6.0,10.0,82,F,0.0,10
-16.0,2.0,82,M,0.0,10
-4.0,10.0,82,F,0.0,10
19.0,7.0,82,F,20.0,10
-20.0,2.0,83,M,0.0,10
6.0,8.0,83,M,20.0,12
-30.0,2.0,84,M,0.0,11
-7.0,8.0,84,M,0.0,11
-7.0,2.0,84,M,0.0,11
-7.0,4.0,85,F,1.0,12
8.0,8.0,85,M,0.0,12
13.0,10.0,85,F,1.0,12
1.0,9.0,85,F,31.0,12
-23.0,1.0,85,M,0.0,12
14.0,10.0,85,M,1.0,12
18.0,10.0,85,F,0.0,12
-4.0,10.0,85,M,20.0,12
-5.0,4.0,85,F,0.0,12
-2.0,5.0,85,M,0.0,12
-17.0,1.0,85,F,0.0,12
5.0,7.0,85,F,0.0,12
5.0,7.0,85,M,31.0,12
-2.0,8.0,85,M,20.0,12
-7.0,3.0,85,M,31.0,12
6.0,10.0,85,F,1.0,12
25.0,10.0,85,F,0.0,12
1.0,10.0,85,F,0.0,12
23.0,10.0,85,M,31.0,12
8.0,9.0,85,M,20.0,12
40.0,10.0,85,F,1.0,5
-18.0,2.0,85,M,20.0,12
2.0,10.0,85,F,1.0,12
2.0,7.0,85,M,20.0,12
40.0,10.0,85,M,1.0,12
5.0,10.0,85,M,31.0,12
-22.0,3.0,85,F,20.0,12
-12.0,2.0,85,M,0.0,12
30.0,10.0,85,F,31.0,12
12.0,10.0,85,M,0.0,12
-8.0,8.0,85,F,20.0,12
1.0,5.0,85,M,31.0,10
-9.0,2.0,85,F,0.0,12
8.0,9.0,85,M,20.0,12
5.0,10.0,85,M,1.0,12
0.0,5.0,85,F,0.0,12
5.0,8.0,86,F,20.0,12
25.0,10.0,86,F,1.0,12
-16.0,2.0,86,M,20.0,12
-2.0,9.0,86,F,20.0,12
27.0,10.0,86,M,1.0,12
-27.0,3.0,86,F,20.0,12
18.0,10.0,87,M,0.0,12
-22.0,4.0,87,M,0.0,12
31.0,10.0,87,M,0.0,12
-27.0,1.0,87,M,0.0,12
-14.0,7.0,87,F,0.0,12
-2.0,3.0,87,M,0.0,12
25.0,10.0,87,F,20.0,12
-17.0,2.0,87,M,0.0,12
-4.0,3.0,87,M,20.0,12
19.0,10.0,87,F,0.0,12
6.0,8.0,87,F,0.0,12
33.0,10.0,87,F,1.0,12
0.0,5.0,87,F,31.0,12
12.0,10.0,87,F,1.0,12
-4.0,6.0,87,M,0.0,12
7.0,9.0,87,F,20.0,12
-12.0,10.0,87,F,1.0,12
-22.0,2.0,87,M,0.0,12
2.0,4.0,87,M,20.0,12
-5.0,8.0,87,M,0.0,12
25.0,8.0,87,M,0.0,12
-10.0,5.0,87,M,20.0,12
-4.0,2.0,87,M,0.0,12
-1.0,9.0,87,F,20.0,12
-1.0,9.0,87,F,0.0,12
-16.0,8.0,87,M,20.0,12
-23.0,2.0,87,M,0.0,12
10.0,8.0,87,M,0.0,12
20.0,9.0,87,F,0.0,12
2.0,4.0,87,M,20.0,12
7.0,4.0,87,M,1.0,12
-1.0,6.0,87,F,31.0,12
6.0,4.0,87,M,20.0,12
-17.0,2.0,87,F,0.0,12
-21.0,5.0,87,M,20.0,12
13.0,10.0,87,M,20.0,12
7.0,8.0,87,F,0.0,12
-7.0,5.0,87,F,0.0,12
-15.0,8.0,87,M,20.0,12
22.0,10.0,87,M,1.0,12
-28.0,2.0,87,F,0.0,12
-27.0,2.0,87,F,0.0,12
20.0,10.0,87,M,20.0,12
-6.0,5.0,87,M,20.0,12
-22.0,1.0,87,M,0.0,10
-6.0,3.0,87,M,0.0,12
-2.0,2.0,87,M,0.0,12
14.0,9.0,87,M,20.0,12
-6.0,3.0,87,M,31.0,12
-1.0,4.0,87,M,0.0,12
12.0,10.0,87,M,1.0,12
-8.0,5.0,87,F,0.0,12
6.0,10.0,88,F,1.0,12
-12.0,5.0,88,M,0.0,12
3.0,10.0,88,M,20.0,12
12.0,9.0,88,M,1.0,12
21.0,10.0,88,F,20.0,12
8.0,10.0,88,F,1.0,12
11.0,10.0,88,F,20.0,12
12.0,10.0,88,F,20.0,12
10.0,10.0,88,F,20.0,12
19.0,9.0,88,M,1.0,12
-5.0,7.0,88,M,1.0,12
-1.0,6.0,88,M,0.0,12
24.0,10.0,88,M,0.0,12
17.0,10.0,88,F,20.0,12
25.0,10.0,88,F,1.0,12
33.0,10.0,88,F,20.0,12
19.0,10.0,88,F,1.0,12
-22.0,9.0,88,M,20.0,12
21.0,10.0,88,M,1.0,12
26.0,10.0,88,F,1.0,12
3.0,9.0,88,M,20.0,12
3.0,10.0,88,F,20.0,12
-2.0,5.0,88,M,20.0,12
6.0,9.0,88,F,31.0,12
13.0,10.0,88,F,1.0,12
2.0,3.0,88,M,31.0,12
-7.0,7.0,88,F,0.0,12
14.0,10.0,88,M,20.0,12
-16.0,3.0,89,F,20.0,11
12.0,3.0,89,M,0.0,11
-6.0,4.0,89,F,0.0,11
-20.0,2.0,89,M,0.0,11
8.0,5.0,89,F,31.0,12
-6.0,4.0,89,F,31.0,11
-22.0,2.0,89,M,0.0,11
-17.0,3.0,89,F,0.0,11
0.0,4.0,90,M,0.0,12
17.0,10.0,90,F,1.0,12
0.0,3.0,90,M,0.0,12
8.0,10.0,90,F,0.0,12
18.0,10.0,90,F,0.0,12
-12.0,3.0,90,M,20.0,12
1.0,10.0,90,F,0.0,12
-1.0,3.0,91,F,0.0,11
-6.0,1.0,91,F,0.0,11
-1.0,3.0,91,F,0.0,11
-8.0,3.0,92,F,0.0,10
-14.0,2.0,92,M,0.0,10
6.0,10.0,92,F,0.0,10
9.0,9.0,92,F,0.0,10
-1.0,2.0,92,M,0.0,12
-2.0,3.0,92,M,20.0,10
2.0,3.0,92,F,0.0,10
23.0,4.0,92,M,0.0,10
-1.0,7.0,92,F,0.0,10
-30.0,2.0,92,F,0.0,10
-16.0,3.0,92,M,0.0,10
30.0,10.0,92,M,0.0,10
23.0,10.0,92,F,20.0,10
9.0,5.0,92,M,0.0,10
-9.0,4.0,92,F,0.0,10
-6.0,3.0,92,M,0.0,10
11.0,10.0,93,M,0.0,12
-30.0,2.0,93,F,0.0,12
16.0,10.0,93,F,20.0,12
30.0,10.0,93,F,31.0,12
-7.0,2.0,93,M,0.0,12
-17.0,2.0,93,F,0.0,12
-6.0,9.0,93,M,20.0,12
3.0,4.0,93,M,0.0,12
12.0,10.0,93,M,0.0,12
-15.0,1.0,93,M,0.0,12
-25.0,2.0,93,M,0.0,12
-17.0,2.0,93,M,0.0,12
1.0,2.0,93,M,0.0,12
-6.0,3.0,93,M,20.0,12
3.0,10.0,93,M,20.0,12
21.0,3.0,93,M,0.0,12
-9.0,3.0,93,M,0.0,12
0.0,5.0,93,M,0.0,12
18.0,10.0,93,F,31.0,12
-1.0,8.0,93,F,0.0,12
36.0,10.0,93,F,1.0,12
29.0,10.0,93,M,20.0,12
7.0,5.0,93,F,0.0,12
-18.0,2.0,93,M,0.0,12
-14.0,3.0,93,F,0.0,12
-11.0,2.0,93,F,31.0,12
-7.0,7.0,93,M,0.0,12
6.0,10.0,93,M,20.0,12
-16.0,5.0,93,F,20.0,12
23.0,10.0,93,M,31.0,12
6.0,7.0,93,F,0.0,12
28.0,10.0,93,F,20.0,12
3.0,4.0,94,M,20.0,12
5.0,10.0,94,M,0.0,12
-7.0,4.0,94,F,0.0,12
3.0,8.0,94,F,1.0,12
17.0,10.0,94,F,20.0,12
4.0,6.0,94,M,1.0,12
21.0,10.0,94,F,1.0,11
-7.0,6.0,94,F,20.0,12
1.0,10.0,94,M,20.0,12
-20.0,3.0,94,M,0.0,9
-18.0,2.0,94,M,0.0,12
-4.0,7.0,94,F,0.0,12
15.0,10.0,94,F,1.0,12
9.0,10.0,94,F,1.0,12
0.0,5.0,95,M,0.0,17
8.0,7.0,95,M,20.0,17
7.0,7.0,95,M,20.0,17
10.0,7.0,95,F,0.0,17
10.0,10.0,95,F,20.0,17
-8.0,6.0,95,F,0.0,17
-10.0,5.0,95,M,0.0,17
3.0,10.0,95,F,20.0,17
12.0,9.0,95,F,1.0,17
10.0,8.0,96,M,0.0,18
11.0,7.0,96,M,0.0,18
19.0,6.0,96,F,0.0,18
-1.0,6.0,96,F,0.0,18
-14.0,3.0,96,F,0.0,19
1.0,8.0,96,F,0.0,18
0.0,4.0,96,F,0.0,19
-14.0,5.0,96,F,0.0,18
-12.0,4.0,96,F,0.0,19
-5.0,4.0,96,F,0.0,18
1.0,9.0,96,F,20.0,18
12.0,6.0,96,F,0.0,18
-9.0,5.0,96,F,0.0,18
15.0,10.0,96,F,0.0,18
7.0,2.0,96,M,0.0,18
-8.0,3.0,96,F,0.0,19
2.0,8.0,96,M,0.0,18
-1.0,3.0,96,M,31.0,18
-21.0,2.0,96,M,0.0,19
-8.0,3.0,96,M,0.0,19
-12.0,4.0,96,F,0.0,19
-23.0,2.0,96,M,0.0,19
1.0,2.0,96,F,0.0,19
-23.0,2.0,96,F,0.0,19
4.0,4.0,96,F,0.0,19
-15.0,3.0,96,M,0.0,19
5.0,5.0,96,F,0.0,19
10.0,7.0,96,F,0.0,18
-4.0,3.0,96,F,0.0,19
0.0,4.0,96,M,0.0,18
-10.0,2.0,96,M,0.0,19
-8.0,1.0,96,M,0.0,19
-21.0,3.0,96,M,0.0,19
5.0,2.0,96,F,0.0,19
-16.0,5.0,96,F,0.0,19
4.0,6.0,96,M,0.0,18
-21.0,2.0,96,F,0.0,19
12.0,2.0,97,M,0.0,14
3.0,3.0,97,F,0.0,14
1.0,3.0,97,F,0.0,14
-11.0,1.0,97,F,0.0,14
-16.0,2.0,97,M,0.0,14
-14.0,2.0,98,F,0.0,19
-24.0,2.0,98,M,0.0,19
-30.0,2.0,98,M,0.0,19
-12.0,3.0,98,M,0.0,19
-4.0,3.0,98,F,0.0,19
-6.0,10.0,98,M,0.0,19
-17.0,2.0,98,M,0.0,19
-14.0,4.0,98,M,0.0,19
-23.0,1.0,98,M,0.0,19
-7.0,3.0,98,F,0.0,19
-12.0,5.0,98,F,0.0,19
-28.0,2.0,98,M,0.0,19
7.0,5.0,98,F,0.0,18
7.0,9.0,98,M,0.0,18
19.0,10.0,98,M,0.0,18
5.0,10.0,98,M,20.0,18
0.0,5.0,98,M,20.0,18
3.0,3.0,98,M,0.0,18
-18.0,3.0,98,F,0.0,19
0.0,4.0,98,F,0.0,19
-8.0,5.0,98,M,0.0,19
-5.0,9.0,98,M,0.0,18
-4.0,2.0,98,M,0.0,19
-30.0,2.0,98,F,0.0,19
-17.0,6.0,98,M,0.0,19
-22.0,1.0,98,F,0.0,19
11.0,10.0,99,F,0.0,14
4.0,4.0,99,M,1.0,14
10.0,9.0,99,F,20.0,14
28.0,10.0,99,F,20.0,14
6.0,7.0,99,F,0.0,14
-14.0,2.0,99,M,0.0,14
18.0,10.0,99,M,20.0,14
6.0,8.0,99,M,0.0,14
7.0,7.0,99,F,20.0,14
-9.0,10.0,99,F,20.0,14
5.0,10.0,99,M,20.0,14
17.0,10.0,99,M,20.0,14
19.0,10.0,99,F,0.0,14
-15.0,6.0,99,F,20.0,14
-21.0,2.0,99,F,31.0,14
5.0,6.0,99,F,0.0,18
18.0,6.0,99,M,0.0,14
30.0,10.0,99,M,0.0,14
4.0,10.0,99,M,0.0,14
12.0,10.0,99,F,31.0,14
8.0,9.0,99,M,20.0,14
16.0,10.0,99,M,1.0,14
-24.0,3.0,99,M,0.0,14
7.0,3.0,100,M,0.0,18
-8.0,2.0,100,F,0.0,18
22.0,7.0,100,F,0.0,18
-4.0,4.0,100,M,0.0,18
-16.0,1.0,100,M,0.0,18
-20.0,2.0,100,M,0.0,18
26.0,8.0,100,M,0.0,18
-29.0,3.0,100,M,0.0,18
2.0,6.0,100,F,0.0,18
9.0,10.0,100,M,0.0,18
16.0,9.0,100,F,0.0,18
-10.0,4.0,100,M,0.0,18
2.0,3.0,100,M,0.0,18
-17.0,2.0,100,F,0.0,18
-4.0,4.0,100,M,0.0,18
-12.0,7.0,100,M,0.0,18
-19.0,2.0,100,M,0.0,18
-27.0,5.0,100,F,20.0,18
7.0,6.0,100,F,0.0,18
-19.0,2.0,100,F,0.0,18
-14.0,6.0,100,M,0.0,18
5.0,4.0,100,F,0.0,18
-21.0,1.0,100,M,0.0,18
-15.0,1.0,100,M,0.0,18
-18.0,3.0,100,F,0.0,18
-24.0,2.0,100,F,0.0,18
-15.0,2.0,100,M,0.0,18
7.0,10.0,100,M,20.0,18
-19.0,1.0,100,M,0.0,18
-21.0,1.0,100,F,0.0,18
-20.0,1.0,100,M,0.0,18
-18.0,3.0,100,F,0.0,18
-5.0,5.0,100,F,0.0,18
-9.0,1.0,100,F,0.0,18
6.0,8.0,100,M,0.0,18
-22.0,3.0,100,F,0.0,18
10.0,6.0,100,F,0.0,18
-29.0,2.0,100,F,0.0,18
-15.0,2.0,100,M,0.0,18
-8.0,2.0,100,M,0.0,18
1.0,4.0,100,M,31.0,18
-4.0,3.0,100,M,31.0,18
-11.0,9.0,100,M,0.0,18
-22.0,2.0,100,M,0.0,18
-17.0,2.0,100,M,0.0,18
-19.0,2.0,100,F,0.0,18
2.0,2.0,100,F,0.0,18
-2.0,4.0,100,M,0.0,18
-23.0,5.0,101,M,0.0,18
-19.0,1.0,101,M,0.0,14
-6.0,3.0,101,M,31.0,16
-16.0,2.0,101,M,0.0,18
-10.0,7.0,101,M,0.0,18
-15.0,3.0,101,M,0.0,18
0.0,3.0,101,F,0.0,18
-14.0,4.0,101,M,0.0,18
-11.0,2.0,101,M,0.0,18
1.0,8.0,101,F,31.0,18
-17.0,4.0,101,F,0.0,18
2.0,10.0,101,M,20.0,15
-4.0,7.0,101,F,0.0,18
-9.0,2.0,101,F,31.0,18
8.0,5.0,101,M,31.0,18
20.0,6.0,101,M,0.0,18
-9.0,5.0,101,M,0.0,18
-1.0,10.0,101,F,20.0,18
-2.0,7.0,101,F,31.0,18
-9.0,5.0,101,F,0.0,18
-6.0,3.0,101,F,0.0,18
-18.0,3.0,101,F,0.0,18
-11.0,8.0,101,F,0.0,18
9.0,10.0,101,F,20.0,18
14.0,9.0,101,M,0.0,18
-6.0,1.0,101,F,20.0,18
18.0,10.0,101,F,0.0,18
29.0,10.0,101,F,1.0,14
-2.0,10.0,101,M,31.0,18
-6.0,5.0,101,F,0.0,18
16.0,10.0,101,F,20.0,18
12.0,10.0,101,M,20.0,18
-10.0,4.0,101,M,0.0,18
-27.0,3.0,101,F,0.0,18
-6.0,2.0,101,F,0.0,18
19.0,10.0,101,M,20.0,18
-28.0,2.0,101,F,0.0,18
