G,Y,A,U,B
BH,N,0,-11.56,N
BH,N,1,-5.56,N
BH,N,2,16.44,N
BH,N,0,-12.56,N
BH,Y,3+,7.44,N
BH,N,0,-7.56,N
BH,N,3+,-0.56,N
BI,Y,1,-9.56,Y
BI,N,3+,10.44,Y
BI,N,0,-12.56,Y
BI,N,0,-8.56,Y
BI,N,2,8.44,Y
BI,Y,1,-9.56,Y
BI,Y,3+,-3.56,Y
BI,N,0,-12.56,Y
BI,N,3+,12.44,Y
BI,N,2,0.44,Y
BI,N,0,-9.56,Y
BI,N,3+,6.44,N
BI,Y,0,-9.56,N
BI,N,3+,5.44,N
BI,N,2,11.44,N
BI,N,2,-2.56,N
BI,N,1,-7.56,N
BI,N,1,-5.56,N
BI,N,1,-8.56,N
BI,N,3+,19.44,N
BI,N,3+,0.44,N
BI,N,2,8.44,N
BI,N,1,-7.56,N
BI,Y,3+,1.44,N
BI,N,0,-9.56,N
BI,Y,1,-0.56,N
BI,N,1,-9.56,N
BI,Y,0,-10.56,N
BI,N,3+,11.44,N
BI,N,3+,8.44,N
BI,Y,0,-11.56,N
BI,N,3+,1.44,N
BI,N,1,-5.56,N
BI,N,3+,14.44,N
BI,N,3+,19.44,N
BI,Y,2,-9.56,N
BI,N,2,-2.56,N
BI,N,3+,14.44,N
BI,N,2,-4.56,N
BI,N,3+,14.44,N
BI,N,0,-13.56,N
BI,N,3+,10.44,N
